gpstime,plateno,longitude,latitude
2021-06-24 06:59:33,粤AD6180,113.31192,23.0195
2021-06-24 06:59:33,粤AD6180,113.31192,23.0195
2021-06-24 07:12:48,粤AD6180,113.31202,23.0195
2021-06-24 07:12:51,粤AD6180,113.31202,23.0195
2021-06-24 11:49:42,粤AD6180,113.3129,23.01953
2021-06-24 11:49:42,粤AD6180,113.3129,23.01953
2021-06-24 11:49:49,粤AD6180,113.3129,23.01953
2021-06-24 11:50:01,粤AD6180,113.31277,23.01952
2021-06-24 12:07:48,粤AD6180,113.31358,23.01949
2021-06-24 12:07:52,粤AD6180,113.31358,23.01949
2021-06-24 12:07:54,粤AD6180,113.31354,23.01936
2021-06-24 12:08:18,粤AD6180,113.31302,23.01899
2021-06-24 12:08:21,粤AD6180,113.31302,23.01899
2021-06-24 12:08:33,粤AD6180,113.31299,23.01891
2021-06-24 12:08:39,粤AD6180,113.31307,23.01902
2021-06-24 12:08:40,粤AD6180,113.31307,23.01902
2021-06-24 12:08:54,粤AD6180,113.31322,23.02019
2021-06-24 12:08:57,粤AD6180,113.31322,23.02019
2021-06-24 12:09:23,粤AD6180,113.31316,23.02069
2021-06-24 12:09:34,粤AD6180,113.31311,23.02098
2021-06-24 12:09:36,粤AD6180,113.31311,23.02098
2021-06-24 12:09:40,粤AD6180,113.313,23.02109
2021-06-24 12:09:49,粤AD6180,113.31247,23.02107
2021-06-24 12:10:04,粤AD6180,113.31152,23.02098
2021-06-24 12:10:19,粤AD6180,113.31069,23.02094
2021-06-24 12:10:49,粤AD6180,113.31011,23.02091
2021-06-24 12:11:19,粤AD6180,113.30972,23.0209
2021-06-24 12:11:34,粤AD6180,113.30949,23.02089
2021-06-24 12:11:49,粤AD6180,113.30882,23.02084
2021-06-24 12:11:57,粤AD6180,113.30862,23.02081
2021-06-24 12:12:01,粤AD6180,113.30841,23.02084
2021-06-24 12:12:04,粤AD6180,113.30826,23.02111
2021-06-24 12:12:19,粤AD6180,113.30767,23.02257
2021-06-24 12:12:34,粤AD6180,113.30718,23.02367
2021-06-24 12:12:49,粤AD6180,113.30685,23.02438
2021-06-24 12:13:04,粤AD6180,113.30644,23.02533
2021-06-24 12:13:18,粤AD6180,113.30604,23.02639
2021-06-24 12:13:33,粤AD6180,113.30567,23.02752
2021-06-24 12:14:21,粤AD6180,113.30582,23.02762
2021-06-24 12:14:33,粤AD6180,113.30572,23.02799
2021-06-24 12:14:43,粤AD6180,113.30565,23.02827
2021-06-24 12:14:48,粤AD6180,113.30567,23.02864
2021-06-24 12:14:51,粤AD6180,113.30567,23.02864
2021-06-24 12:14:54,粤AD6180,113.30566,23.02875
2021-06-24 12:15:00,粤AD6180,113.30565,23.02895
2021-06-24 12:15:03,粤AD6180,113.30567,23.02917
2021-06-24 12:15:18,粤AD6180,113.3057,23.03013
2021-06-24 12:15:33,粤AD6180,113.30579,23.03124
2021-06-24 12:15:49,粤AD6180,113.30613,23.03268
2021-06-24 12:16:03,粤AD6180,113.30642,23.03424
2021-06-24 12:16:18,粤AD6180,113.30661,23.03614
2021-06-24 12:16:33,粤AD6180,113.30681,23.03755
2021-06-24 12:16:43,粤AD6180,113.30709,23.0385
2021-06-24 12:16:48,粤AD6180,113.30746,23.03872
2021-06-24 12:17:03,粤AD6180,113.30919,23.03868
2021-06-24 12:17:18,粤AD6180,113.31072,23.03854
2021-06-24 12:17:33,粤AD6180,113.31232,23.03845
2021-06-24 12:17:48,粤AD6180,113.31385,23.03826
2021-06-24 12:18:03,粤AD6180,113.31492,23.03818
2021-06-24 12:18:17,粤AD6180,113.31571,23.03806
2021-06-24 12:18:32,粤AD6180,113.31674,23.03717
2021-06-24 12:18:33,粤AD6180,113.31711,23.03712
2021-06-24 12:18:47,粤AD6180,113.31796,23.03735
2021-06-24 12:18:55,粤AD6180,113.31882,23.03773
2021-06-24 12:19:00,粤AD6180,113.3191,23.03808
2021-06-24 12:19:03,粤AD6180,113.3191,23.03808
2021-06-24 12:19:04,粤AD6180,113.31894,23.03845
2021-06-24 12:19:07,粤AD6180,113.31894,23.03845
2021-06-24 12:19:13,粤AD6180,113.31855,23.03862
2021-06-24 12:19:16,粤AD6180,113.31816,23.0388
2021-06-24 12:19:18,粤AD6180,113.31816,23.0388
2021-06-24 12:19:18,粤AD6180,113.31795,23.03914
2021-06-24 12:19:21,粤AD6180,113.31795,23.03914
2021-06-24 12:19:32,粤AD6180,113.31817,23.03994
2021-06-24 12:19:47,粤AD6180,113.31891,23.04137
2021-06-24 12:20:02,粤AD6180,113.3198,23.04304
2021-06-24 12:20:17,粤AD6180,113.32055,23.04452
2021-06-24 12:21:08,粤AD6180,113.32118,23.04675
2021-06-24 12:21:23,粤AD6180,113.32124,23.04722
2021-06-24 12:21:38,粤AD6180,113.3213,23.04786
2021-06-24 12:21:53,粤AD6180,113.32133,23.04836
2021-06-24 12:22:08,粤AD6180,113.32136,23.04888
2021-06-24 12:22:10,粤AD6180,113.32136,23.04888
2021-06-24 12:22:16,粤AD6180,113.32136,23.04903
2021-06-24 12:22:23,粤AD6180,113.32138,23.04956
