gpstime,plateno,longitude,latitude
2021-06-24 19:16:25,粤ADB133,113.3075,22.98808
2021-06-24 19:16:37,粤ADB133,113.3075,22.98808
2021-06-24 19:16:51,粤ADB133,113.30715,22.98843
2021-06-24 19:17:03,粤ADB133,113.30774,22.98879
2021-06-24 19:17:19,粤ADB133,113.30981,22.98859
2021-06-24 19:17:33,粤ADB133,113.31177,22.98897
2021-06-24 19:17:48,粤ADB133,113.31353,22.98993
2021-06-24 19:18:03,粤ADB133,113.31544,22.99108
2021-06-24 19:18:18,粤ADB133,113.3172,22.99216
2021-06-24 19:18:33,粤ADB133,113.31921,22.99335
2021-06-24 19:18:48,粤ADB133,113.32076,22.99427
2021-06-24 19:19:03,粤ADB133,113.3221,22.99501
2021-06-24 19:19:21,粤ADB133,113.32369,22.99525
2021-06-24 19:19:44,粤ADB133,113.32113,22.99618
2021-06-24 19:19:57,粤ADB133,113.3205,22.99669
2021-06-24 19:20:08,粤ADB133,113.32003,22.99717
2021-06-24 19:20:23,粤ADB133,113.31926,22.99806
2021-06-24 19:20:38,粤ADB133,113.31924,22.99821
2021-06-24 19:20:53,粤ADB133,113.31902,22.99853
2021-06-24 19:21:08,粤ADB133,113.31843,22.99923
2021-06-24 19:23:24,粤ADB133,113.31633,23.01243
2021-06-24 19:23:37,粤ADB133,113.3163,23.01487
2021-06-24 19:23:56,粤ADB133,113.31643,23.01847
2021-06-24 19:24:50,粤ADB133,113.31659,23.02703
2021-06-24 19:25:05,粤ADB133,113.31667,23.02915
2021-06-24 19:25:09,粤ADB133,113.31667,23.02972
2021-06-24 19:25:24,粤ADB133,113.31675,23.03216
2021-06-24 19:25:39,粤ADB133,113.3168,23.03465
2021-06-24 19:25:40,粤ADB133,113.3168,23.0348
2021-06-24 19:25:55,粤ADB133,113.31712,23.03757
2021-06-24 19:26:10,粤ADB133,113.31813,23.04013
2021-06-24 19:26:10,粤ADB133,113.31813,23.04013
2021-06-24 19:26:29,粤ADB133,113.31895,23.0415
2021-06-24 19:26:44,粤ADB133,113.31976,23.043
2021-06-24 19:26:59,粤ADB133,113.32062,23.04477
2021-06-24 19:27:14,粤ADB133,113.3212,23.04688
2021-06-24 19:27:29,粤ADB133,113.3214,23.04907
2021-06-24 19:27:49,粤ADB133,113.32159,23.05233
2021-06-24 19:28:04,粤ADB133,113.32172,23.05458
2021-06-24 19:28:19,粤ADB133,113.32193,23.05676
2021-06-24 19:28:34,粤ADB133,113.32211,23.05918
2021-06-24 19:28:49,粤ADB133,113.32225,23.06162
2021-06-24 19:29:04,粤ADB133,113.32251,23.06474
2021-06-24 19:29:19,粤ADB133,113.32298,23.06791
2021-06-24 19:29:34,粤ADB133,113.32458,23.07086
2021-06-24 19:29:49,粤ADB133,113.32586,23.07336
2021-06-24 19:30:04,粤ADB133,113.32628,23.07575
2021-06-24 19:30:19,粤ADB133,113.32654,23.07807
2021-06-24 19:30:33,粤ADB133,113.32669,23.07968
2021-06-24 19:31:04,粤ADB133,113.32733,23.08025
2021-06-24 19:31:19,粤ADB133,113.32824,23.08031
2021-06-24 19:31:34,粤ADB133,113.32988,23.08052
2021-06-24 19:31:49,粤ADB133,113.33181,23.08087
2021-06-24 19:32:04,粤ADB133,113.33311,23.0811
2021-06-24 19:32:19,粤ADB133,113.33409,23.0813
2021-06-24 19:32:34,粤ADB133,113.33516,23.08149
2021-06-24 19:32:49,粤ADB133,113.33648,23.08176
2021-06-24 19:33:04,粤ADB133,113.33802,23.08215
2021-06-24 19:33:21,粤ADB133,113.34081,23.08276
2021-06-24 19:33:34,粤ADB133,113.34291,23.08317
2021-06-24 19:33:49,粤ADB133,113.34535,23.08376
2021-06-24 19:34:04,粤ADB133,113.34792,23.08448
2021-06-24 19:34:19,粤ADB133,113.35038,23.08513
2021-06-24 19:34:34,粤ADB133,113.35294,23.08585
2021-06-24 19:34:49,粤ADB133,113.35511,23.08647
2021-06-24 19:35:04,粤ADB133,113.35674,23.08697
2021-06-24 19:35:19,粤ADB133,113.35885,23.08755
2021-06-24 19:35:34,粤ADB133,113.36095,23.08813
2021-06-24 19:35:51,粤ADB133,113.36341,23.08884
2021-06-24 19:36:04,粤ADB133,113.36547,23.0894
2021-06-24 19:36:19,粤ADB133,113.3676,23.08976
2021-06-24 19:36:30,粤ADB133,113.36841,23.09082
2021-06-24 19:36:49,粤ADB133,113.36808,23.09331
2021-06-24 19:37:03,粤ADB133,113.36826,23.09542
2021-06-24 19:37:22,粤ADB133,113.36822,23.09817
2021-06-24 19:37:32,粤ADB133,113.36819,23.09958
2021-06-24 19:37:51,粤ADB133,113.36825,23.10232
2021-06-24 19:38:06,粤ADB133,113.36835,23.10437
2021-06-24 19:38:21,粤ADB133,113.36849,23.10608
2021-06-24 19:38:36,粤ADB133,113.36859,23.10767
2021-06-24 19:38:51,粤ADB133,113.36871,23.10907
2021-06-24 19:39:06,粤ADB133,113.36876,23.11029
2021-06-24 19:39:30,粤ADB133,113.36881,23.11209
2021-06-24 19:39:45,粤ADB133,113.36889,23.11327
2021-06-24 19:40:01,粤ADB133,113.36892,23.11448
2021-06-24 19:40:20,粤ADB133,113.36901,23.11574
2021-06-24 19:40:31,粤ADB133,113.36902,23.11666
2021-06-24 19:40:42,粤ADB133,113.369,23.11721
2021-06-24 19:40:57,粤ADB133,113.36895,23.11837
2021-06-24 19:41:21,粤ADB133,113.36908,23.12007
2021-06-24 19:41:36,粤ADB133,113.36928,23.12127
2021-06-24 19:41:51,粤ADB133,113.3695,23.12275
2021-06-24 19:42:06,粤ADB133,113.36958,23.12397
2021-06-24 19:42:17,粤ADB133,113.36958,23.12462
2021-06-24 19:42:32,粤ADB133,113.36961,23.12546
2021-06-24 19:42:47,粤ADB133,113.36966,23.12618
2021-06-24 19:43:02,粤ADB133,113.36966,23.12648
2021-06-24 19:43:12,粤ADB133,113.36966,23.12647
2021-06-24 19:43:31,粤ADB133,113.36958,23.12709
2021-06-24 19:43:49,粤ADB133,113.36956,23.1277
2021-06-24 19:44:08,粤ADB133,113.3696,23.12841
2021-06-24 19:44:28,粤ADB133,113.3698,23.12926
2021-06-24 19:44:38,粤ADB133,113.36992,23.12963
2021-06-24 19:44:53,粤ADB133,113.37022,23.13032
2021-06-24 19:45:08,粤ADB133,113.37052,23.13113
2021-06-24 19:45:23,粤ADB133,113.37072,23.13205
2021-06-24 19:45:38,粤ADB133,113.37085,23.13271
2021-06-24 19:45:57,粤ADB133,113.37109,23.13354
2021-06-24 19:46:08,粤ADB133,113.37129,23.13419
2021-06-24 19:46:23,粤ADB133,113.37149,23.13537
2021-06-24 19:46:43,粤ADB133,113.37075,23.13727
2021-06-24 19:46:55,粤ADB133,113.37063,23.13869
2021-06-24 19:47:10,粤ADB133,113.3709,23.14
2021-06-24 19:47:25,粤ADB133,113.37124,23.14138
2021-06-24 19:47:40,粤ADB133,113.37169,23.14321
2021-06-24 19:47:55,粤ADB133,113.37223,23.1454
2021-06-24 19:48:10,粤ADB133,113.37267,23.14692
2021-06-24 19:48:27,粤ADB133,113.37318,23.14846
2021-06-24 19:48:38,粤ADB133,113.37318,23.14964
2021-06-24 19:48:50,粤ADB133,113.37315,23.15127
2021-06-24 19:49:09,粤ADB133,113.37405,23.15394
2021-06-24 19:49:24,粤ADB133,113.37531,23.15576
2021-06-24 19:49:39,粤ADB133,113.37645,23.15733
2021-06-24 19:49:54,粤ADB133,113.37748,23.15852
2021-06-24 19:50:04,粤ADB133,113.37767,23.15944
2021-06-24 19:50:19,粤ADB133,113.37768,23.15965
2021-06-24 19:50:29,粤ADB133,113.37767,23.16025
2021-06-24 19:50:48,粤ADB133,113.37728,23.16101
2021-06-24 19:51:03,粤ADB133,113.377,23.16193
2021-06-24 19:51:14,粤ADB133,113.377,23.16265
2021-06-24 19:51:33,粤ADB133,113.37687,23.16391
2021-06-24 19:51:46,粤ADB133,113.37683,23.16454
2021-06-24 19:52:03,粤ADB133,113.37685,23.16588
2021-06-24 19:52:22,粤ADB133,113.37678,23.16731
2021-06-24 19:52:33,粤ADB133,113.37676,23.16775
